Quantify Compound Summary Report 																					
																					
Printed Tue Jul 28 19:12:31 2020																					
																					
Compound 1:  13C-Caffeine																					
																					
	Name	Sample Text	RT	Area		1? Area															
1	TQS3_200727_004	mq H2O	3.26	655.199																	
2	TQS3_200727_005	Cal 0	3.26	785349.313																	
3	TQS3_200727_006	Cal 0.125	3.26	799045.625																	
4	TQS3_200727_007	Cal 0.25	3.26	794561.25																	
5	TQS3_200727_008	Cal 0.5	3.26	826718.688																	
6	TQS3_200727_009	Cal 1	3.26	883206.625																	
7	TQS3_200727_010	Cal 2.5	3.26	802814.563																	
8	TQS3_200727_011	Cal 5	3.26	759755.188																	
9	TQS3_200727_012	Cal 10	3.26	843038.063																	
10	TQS3_200727_013	Cal 25	3.26	858454.813																	
11	TQS3_200727_014	mq H2O	3.26	1022.204																	
12	TQS3_200727_015	Std M2 5ng/mL	3.26	660239.75																	
13	TQS3_200727_016	Blank chemical_2	3.26	678774.188																	
14	TQS3_200727_017	Blank soil	3.26	833862.813																	
15	TQS3_200727_018	Blank soil spiked	3.26	778587.938																	
16	TQS3_200727_019	Std M 1 5ng/mL	3.26	743678.938																	
17	TQS3_200727_020	20I	3.26	676410.188																	
18	TQS3_200727_021	20I_b	3.26	737737.875																	
19	TQS3_200727_022	21C	3.26	767394																	
20	TQS3_200727_023	21H	3.26	1026583.563																	
21	TQS3_200727_024	21H_spike	3.26	720264.75																	
22	TQS3_200727_025	22G	3.26	758875.75																	
23	TQS3_200727_026	Std Mx B 5ng/mL	3.26	630521.313																	
24	TQS3_200727_027	23C	3.26	681434.25																	
25	TQS3_200727_028	23J	3.26	993353.063																	
26	TQS3_200727_029	25A	3.26	743028.438																	
27	TQS3_200727_030	25A_spike	3.26	731067.313																	
28	TQS3_200727_031	27C	3.26	723129.438																	
29	TQS3_200727_032	27J	3.26	727430.063																	
30	TQS3_200727_033	28D	3.26	838481.75																	
31	TQS3_200727_034	28G	3.26	746269.875																	
32	TQS3_200727_035	28G_spike	3.26	704632.563																	
33	TQS3_200727_036	Std Mx B 5ng/mL	3.26	631281.375																	
34	TQS3_200727_037	30D	3.26	697407.688																	
35	TQS3_200727_038	31A	3.26	715820.125																	
36	TQS3_200727_039	31F	3.27	692527.875																	
37	TQS3_200727_040	31J	3.26	788535.688																	
38	TQS3_200727_041	33F	3.26	683167																	
39	TQS3_200727_042	33F_spike	3.26	657683																	
40	TQS3_200727_043	34D	3.26	648101.25																	
41	TQS3_200727_044	34I	3.26	724614.563																	
42	TQS3_200727_045	35A	3.27	722432.313																	
43	TQS3_200727_046	35F	3.26	751585.813																	
44	TQS3_200727_047	Std Mx B 5ng/mL	3.26	630447.563																	
45	TQS3_200727_048	35H	3.26	729010.063																	
46	TQS3_200727_049	35J	3.26	720518.563																	
47	TQS3_200727_050	36D	3.26	761791.063																	
48	TQS3_200727_051	36G	3.26	699010.063																	
49	TQS3_200727_052	36I	3.26	609329.938																	
50	TQS3_200727_053	38B	3.26	686969.5																	
51	TQS3_200727_054	38I	3.26	746454.5																	
52	TQS3_200727_055	39A	3.26	618415.313																	
53	TQS3_200727_056	39H	3.26	732229.125																	
54	TQS3_200727_057	39J	3.26	742387.563																	
55	TQS3_200727_058	Std Mx B 5ng/mL	3.26	674078.125																	
56	TQS3_200727_059	41E	3.27	677291.438																	
57	TQS3_200727_060	41F	3.26	777283.5																	
58	TQS3_200727_061	41H	3.26	720900.75																	
59	TQS3_200727_062	41J	3.26	686127.563																	
60	TQS3_200727_063	42B	3.27	822771.375																	
61	TQS3_200727_064	42B_b	3.26	787432.75																	
62	TQS3_200727_065	44G	3.26	732203.063																	
63	TQS3_200727_066	45F	3.26	738356																	
64	TQS3_200727_067	45J	3.26	726063.75																	
65	TQS3_200727_068	46I	3.26	1316884.625																	
66	TQS3_200727_069	Std Mx B 5ng/mL	3.26	665598.5																	
67	TQS3_200727_070	47E	3.26	688706.75																	
68	TQS3_200727_071	47F	3.27	735971.188																	
69	TQS3_200727_072	47H	3.26	700891.813																	
70	TQS3_200727_073	48B	3.26	749789.188																	
71	TQS3_200727_074	48G	3.26	690106.688																	
72	TQS3_200727_075	48I	3.26	1000732.688																	
73	TQS3_200727_076	1H	3.26	688994.563																	
74	TQS3_200727_077	3A	3.26	678315.125																	
75	TQS3_200727_078	3A_b	3.26	707730.063																	
76	TQS3_200727_079	3F	3.26	720869.813																	
77	TQS3_200727_080	Std Mx B 5ng/mL	3.26	633707.563																	
78	TQS3_200727_081	3F_spike	3.26	683831.25																	
79	TQS3_200727_082	3J	3.26	682138.875																	
80	TQS3_200727_083	5E	3.26	685603.563																	
81	TQS3_200727_084	5F	3.26	802015.375																	
82	TQS3_200727_085	8D	3.26	698175.688																	
83	TQS3_200727_086	8D_spike	3.26	707582																	
84	TQS3_200727_087	8G	3.26	693828.313																	
85	TQS3_200727_088	8I	3.26	735692.438																	
86	TQS3_200727_089	12B	3.26	635844.875																	
87	TQS3_200727_090	12I	3.26	780751.188																	
88	TQS3_200727_091	Std Mx B 5ng/mL	3.26	698100.563																	
89	TQS3_200727_092	13C	3.26	666265.813																	
90	TQS3_200727_093	13C_spike	3.26	726927.063																	
91	TQS3_200727_094	14B	3.26	710452.938																	
92	TQS3_200727_095	14D	3.26	749436.125																	
93	TQS3_200727_096	14G	3.26	676221.063																	
94	TQS3_200727_097	14G_b	3.26	707001.063																	
95	TQS3_200727_098	14I	3.26	686580.125																	
96	TQS3_200727_099	16D	3.26	624409.938																	
97	TQS3_200727_100	16I	3.26	637965.5																	
98	TQS3_200727_101	17E	3.26	676244.188																	
99	TQS3_200727_102	Std Mx B 5ng/mL	3.26	650740.063																	
100	TQS3_200727_103	17F	3.26	689067.438																	
101	TQS3_200727_104	20G	3.26	641222.25																	
102	TQS3_200727_105	21A	3.26	723871.25																	
103	TQS3_200727_106	21F	3.26	717456.938																	
104	TQS3_200727_107	21F_spike	3.26	683177.813																	
105	TQS3_200727_108	21J	3.26	678490																	
106	TQS3_200727_109	Std Mx B 5ng/mL	3.26	701249.688																	
107	TQS3_200727_110	mq H2O	3.27	344.969																	
108	TQS3_200727_111	Cal 0	3.26	798053.063																	
109	TQS3_200727_112	Cal 0.125	3.26	778907																	
110	TQS3_200727_113	Cal 0.25	3.26	790676.313																	
111	TQS3_200727_114	Cal 0.5	3.26	810607.813																	
112	TQS3_200727_115	Cal 1	3.26	773028.125																	
113	TQS3_200727_116	Cal 2.5	3.26	847564.25																	
114	TQS3_200727_117	Cal 5	3.26	777841.313																	
115	TQS3_200727_118	Cal 10	3.26	815221.063																	
116	TQS3_200727_119	Cal 25	3.26	818702.125																	
																					
Compound 2:  Pendimethalin																					
																					
	Name	Sample Text	RT	Area	Area_cor	1? Area	Sec_Area_cor	Ion ratio	Ion ratio_cor	Ion ratio check							Calibration curve				
1	TQS3_200727_004	mq H2O	8.44	1965.711		578.322		29%										Conc.		Trueness	
2	TQS3_200727_005	Cal 0	8.44	1956.245	-104.191	616.46	-6.8535	32%	7%	FALSE		Ion ratio					0				
3	TQS3_200727_006	Cal 0.125	8.44	3041.105	980.669	824.857	201.5435	27%	21%	FALSE		avg std	18.66%	15.65%			0.125	0.315642014	0.106333505	253%	85%
4	TQS3_200727_007	Cal 0.25	8.44	4060.347	1999.911	831.604	208.2905	20%	10%	FALSE		min.	11%	11%			0.25	0.42143106	0.216849463	169%	87%
5	TQS3_200727_008	Cal 0.5	8.44	6072.272	4011.836	1538.099	914.7855	25%	23%	FALSE		max.	21%	20%			0.5	0.630252544	0.435001599	126%	87%
6	TQS3_200727_009	Cal 1	8.44	13773.059	11712.623	2252.36	1629.0465	16%	14%	GOOD							1	1.429531726	1.269994519	143%	127%
7	TQS3_200727_010	Cal 2.5	8.44	24112.613	22052.177	3712.347	3089.0335	15%	14%	GOOD							2.5	2.502693503	2.391107774	100%	96%
8	TQS3_200727_011	Cal 5	8.44	48173.324	46112.888	7250.29	6626.9765	15%	14%	GOOD							5	5	5	100%	100%
9	TQS3_200727_012	Cal 10	8.44	115704.266	113643.83	17164.986	16541.6725	15%	15%	GOOD							10	12.00916362	12.3223501	120%	123%
10	TQS3_200727_013	Cal 25	8.44	326847.906	324787.47	47977.43	47354.1165	15%	15%	GOOD	Conc. In vial	Corr Factor	Calc. Amount	Spike level	Recovery		25	33.92415956	35.21656137	136%	141%
11	TQS3_200727_014	mq H2O	8.44	2155.161	94.725	668.305	44.9915	31%	47%	FALSE	ng/ml		ng/g (ppb)	ng/g	%						
12	TQS3_200727_015	Std M2 5ng/mL	8.44	71669.992	69609.556	10735.753	10112.4395	15%	15%	GOOD											
13	TQS3_200727_016	Blank chemical_2	8.44	2073.694	13.258	577.627	-45.6865	28%	-345%	FALSE											
14	TQS3_200727_017	Blank soil	8.44	1613.025	-447.411	605.1	-18.2135	38%	4%	FALSE											
15	TQS3_200727_018	Blank soil spiked	8.44	16008.269	13947.833	3051.907	2428.5935	19%	17%	GOOD											
16	TQS3_200727_019	Std M 1 5ng/mL	8.44	28454.057	26393.621	4237.737	3614.4235	15%	14%	GOOD											
17	TQS3_200727_020	20I	8.44	8580.012	6519.576	1355.179	731.8655	16%	11%	GOOD											
18	TQS3_200727_021	20I_b	8.44	8680.807	6620.371	1882.2	1258.8865	22%	19%	GOOD											
19	TQS3_200727_022	21C	8.44	862945.813	860885.377	125874.898	125251.5845	15%	15%	GOOD											
20	TQS3_200727_023	21H	8.44	20194.049	18133.613	3322.654	2699.3405	16%	15%	GOOD											
21	TQS3_200727_024	21H_spike	8.44	28571.031	26510.595	4308.031	3684.7175	15%	14%	GOOD											
22	TQS3_200727_025	22G	8.44	8290.25	6229.814	1552.49	929.1765	19%	15%	GOOD											
23	TQS3_200727_026	Std Mx B 5ng/mL	8.44	67931.125	65870.689	9937.734	9314.4205	15%	14%	GOOD											
24	TQS3_200727_027	23C	8.44	430126.094	428065.658	63763.148	63139.8345	15%	15%	GOOD											
25	TQS3_200727_028	23J	8.44	959318.688	957258.252	141896.656	141273.3425	15%	15%	GOOD											
26	TQS3_200727_029	25A	8.44	702828.5	700768.064	104113.484	103490.1705	15%	15%	GOOD											
27	TQS3_200727_030	25A_spike	8.44	744464	742403.564	109418.32	108795.0065	15%	15%	GOOD											
28	TQS3_200727_031	27C	8.44	11072.189	9011.753	1919.816	1296.5025	17%	14%	GOOD											
29	TQS3_200727_032	27J	8.44	801913.313	799852.877	117764.438	117141.1245	15%	15%	GOOD											
30	TQS3_200727_033	28D	8.44	21767.104	19706.668	3491.703	2868.3895	16%	15%	GOOD											
31	TQS3_200727_034	28G	8.44	722645.813	720585.377	109748.266	109124.9525	15%	15%	GOOD											
32	TQS3_200727_035	28G_spike	8.44	703069.75	701009.314	103907.977	103284.6635	15%	15%	GOOD											
33	TQS3_200727_036	Std Mx B 5ng/mL	8.44	70231.219	68170.783	10760.973	10137.6595	15%	15%	GOOD											
34	TQS3_200727_037	30D	8.44	284649.625	282589.189	41667.68	41044.3665	15%	15%	GOOD											
35	TQS3_200727_038	31A	8.44	11272.391	9211.955	2073.712	1450.3985	18%	16%	GOOD											
36	TQS3_200727_039	31F	8.44	1314775	1312714.564	196272.766	195649.4525	15%	15%	GOOD											
37	TQS3_200727_040	31J	8.44	18681.828	16621.392	2993.222	2369.9085	16%	14%	GOOD											
38	TQS3_200727_041	33F	8.44	374925.594	372865.158	55626.207	55002.8935	15%	15%	GOOD											
39	TQS3_200727_042	33F_spike	8.44	386382.219	384321.783	57371.672	56748.3585	15%	15%	GOOD											
40	TQS3_200727_043	34D	8.44	12671.676	10611.24	2199.141	1575.8275	17%	15%	GOOD											
41	TQS3_200727_044	34I	8.44	17341.27	15280.834	2819.929	2196.6155	16%	14%	GOOD											
42	TQS3_200727_045	35A	8.44	9026.676	6966.24	1529.031	905.7175	17%	13%	GOOD											
43	TQS3_200727_046	35F	8.44	672182.75	670122.314	99964.336	99341.0225	15%	15%	GOOD											
44	TQS3_200727_047	Std Mx B 5ng/mL	8.44	69615.438	67555.002	10603.967	9980.6535	15%	15%	GOOD											
45	TQS3_200727_048	35H	8.44	21770.162	19709.726	3646.469	3023.1555	17%	15%	GOOD											
46	TQS3_200727_049	35J	8.44	566705.125	564644.689	85107.344	84484.0305	15%	15%	GOOD											
47	TQS3_200727_050	36D	8.44	230680.125	228619.689	34570.816	33947.5025	15%	15%	GOOD											
48	TQS3_200727_051	36G	8.44	665279.125	663218.689	99382.008	98758.6945	15%	15%	GOOD											
49	TQS3_200727_052	36I	8.44	116226.633	114166.197	17038.328	16415.0145	15%	14%	GOOD											
50	TQS3_200727_053	38B	8.44	557390.25	555329.814	83440.469	82817.1555	15%	15%	GOOD											
51	TQS3_200727_054	38I	8.44	16660.537	14600.101	2871.993	2248.6795	17%	15%	GOOD											
52	TQS3_200727_055	39A	8.44	10594.563	8534.127	1912.803	1289.4895	18%	15%	GOOD											
53	TQS3_200727_056	39H	8.44	22688.936	20628.5	3781.146	3157.8325	17%	15%	GOOD											
54	TQS3_200727_057	39J	8.44	334130.094	332069.658	49535.82	48912.5065	15%	15%	GOOD											
55	TQS3_200727_058	Std Mx B 5ng/mL	8.44	74533.023	72472.587	10861.329	10238.0155	15%	14%	GOOD											
56	TQS3_200727_059	41E	8.44	12403.356	10342.92	2105.012	1481.6985	17%	14%	GOOD											
57	TQS3_200727_060	41F	8.44	8829.528	6769.092	1640.224	1016.9105	19%	15%	GOOD											
58	TQS3_200727_061	41H	8.44	989225.563	987165.127	147128.672	146505.3585	15%	15%	GOOD											
59	TQS3_200727_062	41J	8.44	24632.08	22571.644	3926.67	3303.3565	16%	15%	GOOD											
60	TQS3_200727_063	42B	8.44	10997.695	8937.259	2032.763	1409.4495	18%	16%	GOOD											
61	TQS3_200727_064	42B_b	8.44	9381.357	7320.921	1498.958	875.6445	16%	12%	GOOD											
62	TQS3_200727_065	44G	8.44	774462	772401.564	114803.461	114180.1475	15%	15%	GOOD											
63	TQS3_200727_066	45F	8.44	15156.356	13095.92	2419.188	1795.8745	16%	14%	GOOD											
64	TQS3_200727_067	45J	8.44	790984.875	788924.439	117755.617	117132.3035	15%	15%	GOOD											
65	TQS3_200727_068	46I	8.44	2428417.5	2426357.064	369190.094	368566.7805	15%	15%	GOOD											
66	TQS3_200727_069	Std Mx B 5ng/mL	8.44	74071.789	72011.353	11023.225	10399.9115	15%	14%	GOOD											
67	TQS3_200727_070	47E	8.44	12877.744	10817.308	2282.129	1658.8155	18%	15%	GOOD											
68	TQS3_200727_071	47F	8.44	395778.844	393718.408	60089.773	59466.4595	15%	15%	GOOD											
69	TQS3_200727_072	47H	8.44	236348.813	234288.377	35437.02	34813.7065	15%	15%	GOOD											
70	TQS3_200727_073	48B	8.44	9479.686	7419.25	1434.418	811.1045	15%	11%	FALSE											
71	TQS3_200727_074	48G	8.44	49274.773	47214.337	7429.621	6806.3075	15%	14%	GOOD											
72	TQS3_200727_075	48I	8.44	24255.953	22195.517	3900.446	3277.1325	16%	15%	GOOD											
73	TQS3_200727_076	1H	8.44	1524381.375	1522320.939	233297.656	232674.3425	15%	15%	GOOD											
