Quantify Compound Summary Report 

Printed Wed Jul 29 18:01:25 2020

Compound 1:  13C-Caffeine

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200728_001	mq H2O	3.27	316.576			0	
2	TQS3_200728_002	Cal 0	3.26	795945.375			0	
3	TQS3_200728_003	Cal 0.125	3.26	816245.250			0	
4	TQS3_200728_004	Cal 0.25	3.26	797875.750			0	
5	TQS3_200728_005	Cal 0.5	3.26	837876.438			0	
6	TQS3_200728_006	Cal 1	3.26	826792.938			0	
7	TQS3_200728_007	Cal 2.5	3.26	825843.125			0	
8	TQS3_200728_008	Cal 5	3.26	787006.438			0	
9	TQS3_200728_009	Cal 10	3.26	847427.563			0	
10	TQS3_200728_010	Cal 25	3.26	892977.563			0	
11	TQS3_200728_011	mq H2O	3.26	1114.160			0	
12	TQS3_200728_012	Std Mx B 5ng/mL	3.26	715892.125			0	
13	TQS3_200728_013	22D	3.26	765614.813			0	
14	TQS3_200728_014	22I	3.26	656491.563			0	
15	TQS3_200728_015	22I_spike	3.26	692369.500			0	
16	TQS3_200728_016	23E	3.26	719721.250			0	
17	TQS3_200728_017	23H	3.26	705992.750			0	
18	TQS3_200728_018	24B	3.26	684208.688			0	
19	TQS3_200728_019	24G	3.26	702734.000			0	
20	TQS3_200728_020	24G_spike	3.26	686787.563			0	
21	TQS3_200728_021	25F	3.26	732427.750			0	
22	TQS3_200728_022	26I	3.26	700822.500			0	
23	TQS3_200728_023	Std Mx B 5ng/mL	3.26	711748.250			0	
24	TQS3_200728_024	27A	3.26	677217.375			0	
25	TQS3_200728_025	27H	3.26	730898.625			0	
26	TQS3_200728_026	28B	3.26	844565.625			0	
27	TQS3_200728_027	29A	3.26	696881.250			0	
28	TQS3_200728_028	29J	3.26	703303.563			0	
29	TQS3_200728_029	32D	3.26	718375.813			0	
30	TQS3_200728_030	33H	3.26	654556.000			0	
31	TQS3_200728_031	34G	3.26	621895.188			0	
32	TQS3_200728_032	35C	3.26	673494.563			0	
33	TQS3_200728_033	38D	3.26	664175.875			0	
34	TQS3_200728_034	Std Mx B 5ng/mL	3.26	713747.125			0	
35	TQS3_200728_035	39F	3.26	677884.438			0	
36	TQS3_200728_036	40G	3.26	719032.313			0	
37	TQS3_200728_037	42D	3.26	679735.750			0	
38	TQS3_200728_038	43E	3.26	683913.313			0	
39	TQS3_200728_039	43F	3.26	702714.813			0	
40	TQS3_200728_040	44D	3.26	749413.500			0	
41	TQS3_200728_041	46B	3.26	667902.000			0	
42	TQS3_200728_042	46B_b	3.26	720041.000			0	
43	TQS3_200728_043	50B	3.26	678973.000			0	
44	TQS3_200728_044	52D	3.26	726982.125			0	
45	TQS3_200728_045	Std Mx B 5ng/mL	3.26	725929.938			0	
46	TQS3_200728_046	mq H2O	3.26	890.180			0	
47	TQS3_200728_047	Cal 0	3.26	862782.188			0	
48	TQS3_200728_048	Cal 0.125	3.26	828107.563			0	
49	TQS3_200728_049	Cal 0.25	3.26	830764.813			0	
50	TQS3_200728_050	Cal 0.5	3.26	854518.438			0	
51	TQS3_200728_051	Cal 1	3.26	792982.375			0	
52	TQS3_200728_052	Cal 2.5	3.26	842530.438			0	
53	TQS3_200728_053	Cal 5	3.26	796720.188			0	
54	TQS3_200728_054	Cal 10	3.26	866831.813			0	
