Quantify Compound Summary Report 

Printed Wed Feb 02 11:08:48 2022

Compound 1:  13C-Caffeine

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200724_001	test std 5 solvent	3.32	332439.781			0	
2	TQS3_200724_002	test std 5 solvent	3.26	723842.563			0	
3	TQS3_200724_003	mq H2O	3.22	11.793			0	
4	TQS3_200724_004	Cal 0	3.26	796672.375			0	
5	TQS3_200724_005	Cal 0.125	3.26	873853.313			0	
6	TQS3_200724_006	Cal 0.25	3.26	779976.438			0	
7	TQS3_200724_007	Cal 0.5	3.26	824327.688			0	
8	TQS3_200724_008	Cal 1	3.26	852939.188			0	
9	TQS3_200724_009	Cal 2.5	3.26	787827.688			0	
10	TQS3_200724_010	Cal 5	3.26	759851.563			0	
11	TQS3_200724_011	Cal 10	3.26	815000.188			0	
12	TQS3_200724_012	Cal 25	3.26	869975.688			0	
13	TQS3_200724_013	mq H2O	3.26	638.550			0	
14	TQS3_200724_014	Std M1 5ng/mL	3.26	1167591.875			0	
15	TQS3_200724_015	Blank chemical	3.26	802751.125			0	
16	TQS3_200724_016	Blank soil	3.26	716748.750			0	
17	TQS3_200724_017	Blank soil spiked	3.26	719640.688			0	
18	TQS3_200724_018	1C	3.26	673194.500			0	
19	TQS3_200724_019	1J	3.26	653080.500			0	
20	TQS3_200724_020	2D	3.26	789387.000			0	
21	TQS3_200724_021	2I	3.26	707516.875			0	
22	TQS3_200724_022	3H	3.26	677000.375			0	
23	TQS3_200724_023	3H_b	3.26	775343.438			0	
24	TQS3_200724_024	4B	3.26	719741.125			0	
25	TQS3_200724_025	Std M1 5ng/mL	3.26	845621.813			0	
26	TQS3_200724_026	5J	3.26	713236.250			0	
27	TQS3_200724_027	6B	3.26	696068.063			0	
28	TQS3_200724_028	6D	3.26	684915.063			0	
29	TQS3_200724_029	7E	3.26	678773.438			0	
30	TQS3_200724_030	8B	3.26	653758.500			0	
31	TQS3_200724_031	9J	3.26	713092.000			0	
32	TQS3_200724_032	10D	3.26	672981.375			0	
33	TQS3_200724_033	10G	3.26	777897.313			0	
34	TQS3_200724_034	11F	3.26	689638.000			0	
35	TQS3_200724_035	11F_spike	3.26	673558.375			0	
36	TQS3_200724_036	Std M1 5ng/mL	3.26	766216.938			0	
37	TQS3_200724_037	11H	3.26	728332.188			0	
38	TQS3_200724_038	11J	3.26	689526.813			0	
39	TQS3_200724_039	12G	3.26	698874.125			0	
40	TQS3_200724_040	13F	3.26	711040.500			0	
41	TQS3_200724_041	13F_spike	3.26	568584.625			0	
42	TQS3_200724_042	15F	3.26	671948.563			0	
43	TQS3_200724_043	15F_spike	3.26	698353.813			0	
44	TQS3_200724_044	17C	3.26	667525.063			0	
45	TQS3_200724_045	17H	3.26	839483.625			0	
46	TQS3_200724_046	19E	3.26	682933.375			0	
47	TQS3_200724_047	Std M1 5ng/mL	3.16	59.276			0	
48	TQS3_200724_048	19E_b	3.26	727633.688			0	
49	TQS3_200724_049	24I	3.26	688060.000			0	
50	TQS3_200724_050	25E	3.26	713515.688			0	
51	TQS3_200724_051	26G	3.26	685442.688			0	
52	TQS3_200724_052	27F	3.26	690562.500			0	
53	TQS3_200724_053	29H	3.26	666256.125			0	
54	TQS3_200724_054	30G	3.26	702026.188			0	
55	TQS3_200724_055	31H	3.26	708286.750			0	
56	TQS3_200724_056	31H_spike	3.26	859361.125			0	
57	TQS3_200724_057	32I	3.26	686417.750			0	
58	TQS3_200724_058	Std M1 5ng/mL	3.26	753207.938			0	
59	TQS3_200724_059	33A	3.26	703108.750			0	
60	TQS3_200724_060	33C	3.26	697564.875			0	
61	TQS3_200724_061	33J	3.26	669915.250			0	
62	TQS3_200724_062	33J_spike	3.26	681619.750			0	
63	TQS3_200724_063	34B	3.26	694385.250			0	
64	TQS3_200724_064	37C	3.26	647446.688			0	
