Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Chlorothalonil I,14.934,39,38
4,Cal 0.125,Chlorothalonil I,14.951,-10,2
5,Cal 0.25,Chlorothalonil I,14.913,6,36
6,Cal 0.5,Chlorothalonil I,14.968,51,38
7,Cal 1,Chlorothalonil I,14.922,133,52
8,Cal 5,Chlorothalonil I,14.93,250,183
9,Cal 10,Chlorothalonil I,14.934,370,374
10,Cal 25,Chlorothalonil I,14.93,1200,1044
11,Cal 5,Chlorothalonil I,14.926,262,205
12,Blanck chemical,Chlorothalonil I,14.901,47,33
13,QC 0,Chlorothalonil I,14.918,13,75
14,QC 0.5,Chlorothalonil I,14.959,32,-17
15,QC 1,Chlorothalonil I,14.893,23,-23
16,QC 2.5,Chlorothalonil I,14.93,44,26
17,QC 5,Chlorothalonil I,14.943,54,230
18,QC 10,Chlorothalonil I,14.93,82,84
19,Cal 5,Chlorothalonil I,14.938,213,175
20,31110 A,Chlorothalonil I,14.93,30,
21,31110 Spike,Chlorothalonil I,14.934,82,
22,31111 A,Chlorothalonil I,15.043,198,53
23,31111 B,Chlorothalonil I,15.001,60,
24,31120,Chlorothalonil I,15.039,89,115
25,31121,Chlorothalonil I,14.926,57,
26,31130,Chlorothalonil I,14.863,68,13
27,31131,Chlorothalonil I,15.005,608,185
28,31210,Chlorothalonil I,14.938,323,258
29,31211,Chlorothalonil I,14.926,241,232
30,Cal 5,Chlorothalonil I,14.922,223,181
31,31220,Chlorothalonil I,14.926,267,232
32,31221,Chlorothalonil I,14.926,108,114
33,31230,Chlorothalonil I,14.926,101,70
34,31231,Chlorothalonil I,14.93,186,125
35,31310,Chlorothalonil I,,,
36,31311,Chlorothalonil I,15.039,259,216
37,31320,Chlorothalonil I,15.018,218,124
38,31321,Chlorothalonil I,14.93,8,
39,31330,Chlorothalonil I,14.934,13,
40,31331,Chlorothalonil I,14.905,18,
41,Cal 5,Chlorothalonil I,14.934,263,167
42,32110 A,Chlorothalonil I,15.005,430,24
43,32110 B,Chlorothalonil I,14.938,92,55
44,32111 A,Chlorothalonil I,15.014,0,0
45,32111 Spike,Chlorothalonil I,15.018,89,112
46,32120,Chlorothalonil I,15.047,157,42
47,32121,Chlorothalonil I,14.947,16,
48,32130,Chlorothalonil I,15.001,271,11
49,32131,Chlorothalonil I,15.001,20,
50,32210,Chlorothalonil I,14.93,75,187
51,32211,Chlorothalonil I,14.922,40,19
52,Cal 5,Chlorothalonil I,14.93,207,156
53,32220,Chlorothalonil I,15.014,56,9
54,32221,Chlorothalonil I,14.934,10,
55,32230,Chlorothalonil I,15.018,0,0
56,32231,Chlorothalonil I,15.026,0,0
57,32310,Chlorothalonil I,15.001,0,0
58,32311,Chlorothalonil I,14.934,82,
59,32320,Chlorothalonil I,15.005,162,60
60,32321,Chlorothalonil I,14.918,20,32
61,32330,Chlorothalonil I,14.918,25,
62,32331,Chlorothalonil I,15.035,89,68
63,Cal 5,Chlorothalonil I,14.938,315,187
64,33110 A,Chlorothalonil I,14.913,27,57
65,33110 Spike,Chlorothalonil I,15.009,116,
66,33111 A,Chlorothalonil I,14.926,5,156
67,33111 B,Chlorothalonil I,15.009,87,123
68,33120,Chlorothalonil I,14.951,14,
69,33121,Chlorothalonil I,14.934,48,12
70,33130,Chlorothalonil I,14.801,24,39
71,33131,Chlorothalonil I,14.901,43,
72,33210,Chlorothalonil I,15.009,0,0
73,33211,Chlorothalonil I,15.026,0,0
74,Cal 5,Chlorothalonil I,14.918,109,186
75,Cal 5 II,Chlorothalonil I,14.913,124,113
76,33220,Chlorothalonil I,,,
77,33221,Chlorothalonil I,14.934,15,
78,33230,Chlorothalonil I,15.009,50,
79,33231,Chlorothalonil I,15.047,198,173
80,33310,Chlorothalonil I,14.913,20,37
81,33311,Chlorothalonil I,15.026,0,0
82,33320,Chlorothalonil I,15.014,0,0
83,33321,Chlorothalonil I,15.035,0,0
84,33330,Chlorothalonil I,15.009,0,0
85,33331,Chlorothalonil I,14.93,13,
