Quantify Compound Summary Report 

Printed Fri Oct 08 13:17:35 2021

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
1	1	U1_04122020_001	sta 0.1 µg/ml	4.01	31
2	2	U1_04122020_002	sta 0.1 µg/ml	3.94	18048
3	3	U1_04122020_003	Blank	4.13	2
4	4	U1_04122020_004	sta 0 µg/ml	4.24	321
5	5	U1_04122020_005	sta 0.005 µg/ml	4.22	1136
6	6	U1_04122020_006	sta 0.01 µg/ml	4.23	1323
7	7	U1_04122020_007	sta 0.02 µg/ml	4.23	3296
8	8	U1_04122020_008	sta 0.05µg/ml	4.23	7996
9	9	U1_04122020_009	sta 0.1 µg/ml	4.22	14306
10	10	U1_04122020_010	sta 0.2 µg/ml	4.22	28040
11	11	U1_04122020_011	sta 0.5 µg/ml	4.22	84103
12	12	U1_04122020_012	sta 1 µg/ml	4.22	172861
13	13	U1_04122020_013	sta 2 µg/ml	4.22	392372
14	14	U1_04122020_014	Blank	4.06	7
15	15	U1_04122020_015	sta 0.1 µg/ml	4.22	15423
16	16	U1_04122020_016	Blank	4.00	11
17	17	U1_04122020_017	XY-blank	4.23	583
18	18	U1_04122020_018	XY-blank 0.5 Spiked	4.22	3505
19	19	U1_04122020_019	Blank	4.07	3
20	20	U1_04122020_020	GLY-QC1 - 0.2	4.22	2308
21	21	U1_04122020_021	GLY-QC2 - 0.5	4.22	3723
22	22	U1_04122020_022	GLY-QC3 - 1	4.22	8045
23	23	U1_04122020_023	Blank	4.05	10
24	24	U1_04122020_024	Sta 0.1 µg/ml	4.22	13656
25	25	U1_04122020_025	Blank	3.98	1
26	26	U1_04122020_026	20190315_W_1-GLY	4.23	241
27	27	U1_04122020_027	20190510_W_1_9-GLY	4.22	198
28	28	U1_04122020_028	20190606_W_1_2-GLY	4.21	99
29	29	U1_04122020_029	20190615_W_1_9-GLY	4.22	149
30	30	U1_04122020_030	20200627_W_1_5-GLY	4.22	77
31	31	U1_04122020_031	20200701_W_1_12-GLY	4.05	9
32	32	U1_04122020_032	20200812_W_1_12-GLY	4.22	226
33	33	U1_04122020_033	20200831_W_1_12-GLY	3.95	18
34	34	U1_04122020_034	20200924_W_1_9-GLY	4.22	148404
35	35	U1_04122020_035	20200928_W_1_12-GLY	4.22	10057
36	36	U1_04122020_036	Blank	3.69	3
37	37	U1_04122020_037	Sta 0.1 µg/ml	4.22	12914
38	38	U1_04122020_038	Blank	4.11	1
39	39	U1_04122020_039	20190315_S_1-GLY	4.22	364
40	40	U1_04122020_040	20190415_C_A-GLY	3.80	24
41	41	U1_04122020_041	20190415_C_B-GLY	4.22	6888
42	42	U1_04122020_042	20190415_C_C-GLY	4.20	435
43	43	U1_04122020_043	20190415_C_D-GLY	3.91	5
44	44	U1_04122020_044	20190415_C_E-GLY	4.22	6752
45	45	U1_04122020_045	20190415_C_F-GLY	3.98	15
46	46	U1_04122020_046	20190510_S_1_9-GLY	4.22	3730
47	47	U1_04122020_047	Blank	4.02	5
48	48	U1_04122020_048	Sta 0.1 µg/ml	4.22	12817
49	49	U1_04122020_049	Blank	3.96	4
50	50	U1_04122020_050	20190511_C_G-GLY	4.21	866
51	51	U1_04122020_051	20190511_C_H-GLY	4.21	2128
52	52	U1_04122020_052	20190511_C_I-GLY	4.22	3769
53	53	U1_04122020_053	20190511_C_J-GLY	4.21	378
54	54	U1_04122020_054	20190511_C_K-GLY	4.21	24609
55	55	U1_04122020_055	20190511_C_L-GLY	4.21	226279
56	56	U1_04122020_056	20190511_C_M-GLY	4.20	1434
57	57	U1_04122020_057	20190511_C_N-GLY	4.21	1898
58	58	U1_04122020_058	20190511_C_O-GLY	4.21	2736
59	59	U1_04122020_059	Blank	3.95	12
60	60	U1_04122020_060	Sta 0.1 µg/ml	4.21	13579
61	61	U1_04122020_061	Blank	3.99	3
62	62	U1_04122020_062	20190528_C_A-GLY	4.21	1311
63	63	U1_04122020_063	20190528_C_B-GLY	4.21	2262
64	64	U1_04122020_064	20190528_C_C-GLY	4.20	292
65	65	U1_04122020_065	20190528_C_D-GLY	4.22	325
66	66	U1_04122020_066	20190528_C_E-GLY	4.21	36283
67	67	U1_04122020_067	20190528_C_F-GLY	4.22	1539
68	68	U1_04122020_068	20190528_C_G-GLY	4.22	1472
69	69	U1_04122020_069	20190528_C_H-GLY	4.21	99
70	70	U1_04122020_070	Blank	4.26	8
71	71	U1_04122020_071	Sta 0.1 µg/ml	4.22	13735
72	72	U1_04122020_072	Blank	4.03	11
73	73	U1_04122020_073	Sta Blank	4.20	136
74	74	U1_04122020_074	Sta 0.005 µg/ml	4.21	870
75	75	U1_04122020_075	Sta 0.01 µg/ml	4.22	1615
76	76	U1_04122020_076	Sta 0.02 µg/ml	4.21	2734
77	77	U1_04122020_077	Sta 0.05 µg/ml	4.21	6677
