Quantify Compound Summary Report 

Printed Wed Feb 02 11:08:47 2022

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area
1	1	TQS3_210129_001	Blank	3.33	164
2	2	TQS3_210129_002	Std 0 ng/mL	3.31	781358
3	3	TQS3_210129_003	Std 1.25 ng/mL	3.30	786161
4	4	TQS3_210129_004	Std 3.125 ng/mL	3.33	816845
5	5	TQS3_210129_005	Std 6.25 ng/mL	3.34	799296
6	6	TQS3_210129_006	Std 12.5 ng/mL	3.34	848106
7	7	TQS3_210129_007	Std 50 ng/mL	3.34	951565
8	8	TQS3_210129_008	Blank	3.32	48
9	9	TQS3_210129_009	Std 3.125 ng/ml matrix	3.34	228201
10	10	TQS3_210129_010	Blank	3.31	43
11	11	TQS3_210129_011	XY-blank-IS	3.33	588
12	12	TQS3_210129_012	XY-blank-IS-std_mix	3.34	692398
13	13	TQS3_210129_013	LC-RS-QC1 standard	3.34	670396
14	14	TQS3_210129_014	LC-RS-QC2	3.34	639094
15	15	TQS3_210129_015	LC-W-QC1 standard	3.34	829217
16	16	TQS3_210129_016	Blank	3.34	1173
17	17	TQS3_210129_017	Std 3.125 ng/ml matrix	3.34	233684
18	18	TQS3_210129_018	Std 3.125 ng/ml solvent	3.33	875317
19	19	TQS3_210129_019	Blank	3.33	372
20	20	TQS3_210129_020	20190528_W_1-LC	3.34	887708
21	21	TQS3_210129_021	20190528_W_2-LC	3.34	925448
22	22	TQS3_210129_022	20190528_W_3-LC	3.34	798129
23	23	TQS3_210129_023	20190528_W_4-LC	3.34	893653
24	24	TQS3_210129_024	20190528_W_5-LC	3.33	915441
25	25	TQS3_210129_025	20190528_W_6-LC	3.34	939311
26	26	TQS3_210129_026	20190528_W_7-LC	3.34	848517
27	27	TQS3_210129_027	20190528_W_8_12-LC	3.34	857335
28	28	TQS3_210129_028	20190818_W_1-LC	3.34	841360
29	29	TQS3_210129_029	20190818_W_2-LC	3.34	1038307
30	30	TQS3_210129_030	Blank	3.33	242
31	31	TQS3_210129_031	Std 3.125 ng/ml solvent	3.33	897740
32	32	TQS3_210129_032	Blank	3.34	720
33	33	TQS3_210129_033	20190818_W_3-LC	3.34	649763
34	34	TQS3_210129_034	20190818_W_4-LC	3.34	881886
35	35	TQS3_210129_035	20190818_W_5-LC	3.34	935069
36	36	TQS3_210129_036	20190818_W_6-LC	3.34	926408
37	37	TQS3_210129_037	20190818_W_7-LC	3.34	948624
38	38	TQS3_210129_038	20190818_W_8_9-LC	3.34	969370
39	39	TQS3_210129_039	20190818_W_10_12-LC	3.34	767004
40	40	TQS3_210129_040	20200617_W_1_4-LC	3.34	926864
41	41	TQS3_210129_041	20200617_W_5-LC	3.34	859263
42	42	TQS3_210129_042	20200617_W_6-LC	3.34	813638
43	43	TQS3_210129_043	Blank	3.34	881
44	44	TQS3_210129_044	Std 3.125 ng/ml solvent	3.34	920957
