Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
1	1	U1_201211_001	Sta 0.1µg/ml	4.28	15631
2	2	U1_201211_002	Sta 0.1µg/ml	4.25	14141
3	3	U1_201211_003	Blank	4.05	14
4	4	U1_201211_004	Sta 0 µg/ml	4.24	352
5	5	U1_201211_005	Sta 0.005µg/ml	4.25	817
6	6	U1_201211_006	Sta 0.01µg/ml	4.25	1358
7	7	U1_201211_007	Sta 0.02µg/ml	4.25	3124
8	8	U1_201211_008	Sta 0.05µg/ml	4.25	7026
9	9	U1_201211_009	Sta 0.1µg/ml	4.25	12736
10	10	U1_201211_010	Sta 0.2µg/ml	4.25	26043
11	11	U1_201211_011	Sta 0.5µg/ml	4.25	73265
12	12	U1_201211_012	Sta 1 µg/ml	4.24	159106
13	13	U1_201211_013	Sta 2 µg/ml	4.24	381511
14	14	U1_201211_014	Blank	3.94	10
15	15	U1_201211_015	Sta 0.1 µg/ml	4.25	15303
16	16	U1_201211_016	Blank	3.90	8
17	17	U1_201211_017	XY-BLANK	4.23	534
18	18	U1_201211_018	XY-0.5 Spiked	4.24	5053
19	19	U1_201211_019	Blank	4.08	47
20	20	U1_201211_020	GLY-QC1 - 0.2	4.24	368
21	21	U1_201211_021	GLY-QC2 - 0.5	4.24	4445
22	22	U1_201211_022	GLY-QC3 - 1	4.24	3443
23	23	U1_201211_023	Blank	3.94	2
24	24	U1_201211_024	Sta 0.1 µg/ml	4.24	13228
25	25	U1_201211_025	Blank	4.41	11
26	26	U1_201211_026	20190528_W_1-GLY	4.22	219
27	27	U1_201211_027	20190528_W_2-GLY	4.24	148
28	28	U1_201211_028	20190528_W_3-GLY	4.25	83
29	29	U1_201211_029	20190528_W_4-GLY	4.25	113
30	30	U1_201211_030	20190528_W_5-GLY	4.22	98
31	31	U1_201211_031	20190528_W_6-GLY	4.23	99
32	32	U1_201211_032	20190528_W_7-GLY	4.01	2
33	33	U1_201211_033	20190528_W_8_12-GLY	4.30	147
34	34	U1_201211_034	Blank	4.14	1
35	35	U1_201211_035	Sta 0.1 µg/ml	4.24	13487
36	36	U1_201211_036	Blank	4.12	1
37	37	U1_201211_037	20190818_W_1-GLY	4.24	77
38	38	U1_201211_038	20190818_W_2-GLY	4.03	5
39	39	U1_201211_039	20190818_W_3-GLY	4.21	100
40	40	U1_201211_040	20190818_W_4-GLY	3.78	5
41	41	U1_201211_041	20190818_W_5-GLY	4.09	5
42	42	U1_201211_042	20190818_W_6-GLY	4.05	2
43	43	U1_201211_043	20190818_W_7-GLY	3.95	6
44	44	U1_201211_044	20190818_W_8_9-GLY	3.95	56
45	45	U1_201211_045	20190818_W_10_12-GLY	4.10	8
