Quantify Compound Summary Report 

Printed Thu Feb 04 10:38:59 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
1	1	TQS3_210122_001	Blank	3.33	376	
2	2	TQS3_210122_002	Std 0 ng/mL	3.32	1438237	
3	3	TQS3_210122_003	Std 1.25 ng/mL	3.32	1300045	
4	4	TQS3_210122_004	Std 3.125 ng/mL	3.32	1456222	
5	5	TQS3_210122_005	Std 6.25 ng/mL	3.32	1283146	
6	6	TQS3_210122_006	Std 12.5 ng/mL	3.32	1288447	
7	7	TQS3_210122_007	Std 50 ng/mL	3.32	1468079	
8	8	TQS3_210122_008	Blank	3.33	568	
9	9	TQS3_210122_009	Std 3.125 ng/ml matrix	3.32	329041	
10	10	TQS3_210122_010	Blank	3.31	248	
11	11	TQS3_210122_011	BLANK - IS	3.32	343	
12	12	TQS3_210122_012	BLANK + IS + std MIX	3.32	862393	
13	13	TQS3_210122_013	QC-1-standard	3.32	739613	
14	14	TQS3_210122_014	QC-2	3.32	802057	
15	15	TQS3_210122_015	QC-3	3.32	785489	
16	16	TQS3_210122_016	Blank	3.33	410	
17	17	TQS3_210122_017	Std 3.125 ng/ml matrix	3.32	309036	
18	18	TQS3_210122_018	Blank	3.32	237	
19	19	TQS3_210122_019	20190415_C_A-LC	3.32	936540	
20	20	TQS3_210122_020	20190415_C_B-LC	3.32	760663	
21	21	TQS3_210122_021	20190415_C_C-LC	3.31	864018	
22	22	TQS3_210122_022	20190415_C_D-LC	3.31	883355	
23	23	TQS3_210122_023	20190415_C_E-LC	3.31	751107	
24	24	TQS3_210122_024	20190415_C_F-LC	3.31	694024	
25	25	TQS3_210122_025	20190510_S_1_9-LC	3.31	1599670	
26	26	TQS3_210122_026	20190511_C_G-LC	3.31	886928	
27	27	TQS3_210122_027	20190511_C_H-LC	3.31	767150	
28	28	TQS3_210122_028	20190511_C_I-LC	3.31	778712	
29	29	TQS3_210122_029	Blank	3.33	154	
30	30	TQS3_210122_030	Std 3.125 ng/ml matrix	3.31	308207	
31	31	TQS3_210122_031	Blank	3.32	265	
32	32	TQS3_210122_032	20190511_C_J-LC	3.32	861670	
33	33	TQS3_210122_033	20190511_C_K-LC	3.32	690992	
34	34	TQS3_210122_034	20190511_C_L-LC	3.32	801705	
35	35	TQS3_210122_035	20190511_C_M-LC	3.32	840583	
36	36	TQS3_210122_036	20190511_C_N-LC	3.32	781338	
37	37	TQS3_210122_037	20190511_C_O-LC	3.32	763186	
38	38	TQS3_210122_038	20190528_C_A-LC	3.32	645517	
39	39	TQS3_210122_039	20190528_C_B-LC	3.32	731432	
40	40	TQS3_210122_040	20190528_C_C-LC	3.33	853509	
41	41	TQS3_210122_041	20190528_C_D-LC	3.32	641434	
42	42	TQS3_210122_042	Blank	3.33	267	
43	43	TQS3_210122_043	Std 3.125 ng/ml matrix	3.32	268221	
