Quantify Compound Summary Report 

Printed Thu Feb 04 10:40:01 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
1	1	TQS3_210122_124	Blank	3.32	136	
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	3.31	269097	
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	3.31	1119597	
4	4	TQS3_210122_127	Blank	3.33	268	
5	5	TQS3_210122_128	20190315_W_1-LC	3.31	1162535	
6	6	TQS3_210122_129	20190510_W_1_9-LC	3.31	1041182	
7	7	TQS3_210122_130	20190606_W_1_2-LC	3.31	1144270	
8	8	TQS3_210122_131	20190615_W_1_9-LC	3.31	1032337	
9	9	TQS3_210122_132	20200627_W_1_5-LC	3.31	987216	
10	10	TQS3_210122_133	Blank	3.31	201	
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	3.31	262818	
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	3.31	1123170	
13	13	TQS3_210122_144	Blank	3.31	87	
14	14	TQS3_210122_145	Std 0 ng/mL	3.31	1111732	
15	15	TQS3_210122_146	Std 1.25 ng/mL	3.31	1055389	
16	16	TQS3_210122_147	Std 3.125 ng/mL	3.31	1259891	
17	17	TQS3_210122_148	Std 6.25 ng/mL	3.31	1188075	
18	18	TQS3_210122_149	Std 12.5 ng/mL	3.31	1122077	
19	19	TQS3_210122_150	Std 50 ng/mL	3.31	1427661	
20	20	TQS3_210122_151	Blank	3.32	220	
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	3.32	290931	
22	22	TQS3_210122_153	Blank	3.31	181	
23	23	TQS3_210122_154	Blank	3.32	300	

Compound 2:  Thiacloprid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	3.99	5019	616
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	4.00	1726438	527221
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	4.00	1958981	596053
4	4	TQS3_210122_127	Blank	3.99	3930	557
5	5	TQS3_210122_128	20190315_W_1-LC	3.99	3334	633
6	6	TQS3_210122_129	20190510_W_1_9-LC	4.00	12165	2945
7	7	TQS3_210122_130	20190606_W_1_2-LC	3.99	5544	1328
8	8	TQS3_210122_131	20190615_W_1_9-LC	3.99	4305845	1325418
9	9	TQS3_210122_132	20200627_W_1_5-LC	4.00	240847	73560
10	10	TQS3_210122_133	Blank	4.00	2659	790
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	4.00	1746546	528002
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	4.00	2041022	622112
13	13	TQS3_210122_144	Blank	4.00	2846	601
14	14	TQS3_210122_145	Std 0 ng/mL	4.00	2470	349
15	15	TQS3_210122_146	Std 1.25 ng/mL	4.00	756714	231716
16	16	TQS3_210122_147	Std 3.125 ng/mL	4.00	2055193	631718
17	17	TQS3_210122_148	Std 6.25 ng/mL	4.00	4382322	1332359
18	18	TQS3_210122_149	Std 12.5 ng/mL	4.00	6566514	2218854
19	19	TQS3_210122_150	Std 50 ng/mL	3.98	10358019	7593354
20	20	TQS3_210122_151	Blank	4.00	9420	2243
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	4.00	1746162	530386
22	22	TQS3_210122_153	Blank	4.00	5363	811
23	23	TQS3_210122_154	Blank	4.00	4879	786

Compound 3:  Flonicamid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank			
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	3.23	117199	74218
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	3.23	139316	88821
4	4	TQS3_210122_127	Blank	3.22	52	83
5	5	TQS3_210122_128	20190315_W_1-LC			
6	6	TQS3_210122_129	20190510_W_1_9-LC	3.23	226	82
7	7	TQS3_210122_130	20190606_W_1_2-LC	3.23	47037	29133
8	8	TQS3_210122_131	20190615_W_1_9-LC	3.22	3805	2199
9	9	TQS3_210122_132	20200627_W_1_5-LC	3.22	30842	19372
10	10	TQS3_210122_133	Blank			
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	3.23	124771	79357
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	3.23	129627	83022
13	13	TQS3_210122_144	Blank	3.22	83	31
14	14	TQS3_210122_145	Std 0 ng/mL			
15	15	TQS3_210122_146	Std 1.25 ng/mL	3.23	50229	32738
16	16	TQS3_210122_147	Std 3.125 ng/mL	3.23	138335	87168
17	17	TQS3_210122_148	Std 6.25 ng/mL	3.23	297044	189951
18	18	TQS3_210122_149	Std 12.5 ng/mL	3.23	512128	328621
19	19	TQS3_210122_150	Std 50 ng/mL	3.23	2328241	1483108
20	20	TQS3_210122_151	Blank	3.23	67	198
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	3.23	125833	80108
22	22	TQS3_210122_153	Blank	3.23	33	84
23	23	TQS3_210122_154	Blank	3.25	39	31

Compound 4:  Acetamiprid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	3.74	1373	441
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	3.73	1253029	427983
