Quantify Compound Summary Report 

Printed Mon Apr 19 16:14:00 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	3.41	684252	
2	2	TQS3_210326_002	testd std 3.125 ng/ml	3.41	573449	
3	3	TQS3_210326_003	testd std 3.125 ng/ml	3.40	545093	
4	4	TQS3_210326_004	Blank	3.41	171	
5	5	TQS3_210326_005	B3 Sta Blank	3.42	499243	
6	6	TQS3_210326_006	B3 Sta 0.625	3.41	253068	
7	7	TQS3_210326_007	B3 Sta 1.25	3.42	562981	
8	8	TQS3_210326_008	B3 Sta 3.125	3.42	589288	
9	9	TQS3_210326_009	B3 Sta 6.25	3.42	568712	
10	10	TQS3_210326_010	B3 Sta 12.5	3.41	603281	
11	11	TQS3_210326_011	B3 Sta 25	3.41	354217	
12	12	TQS3_210326_012	B3 Sta 50	3.42	700124	
13	13	TQS3_210326_013	20190415_C_E-LC	3.42	774581	
14	14	TQS3_210326_014	20190528_C_F-LC	3.43	794823	
15	15	TQS3_210326_015	20190615_W_1_9-LC	3.43	690606	
16	16	TQS3_210326_016	20200304_C_P-LC	3.42	744285	
17	17	TQS3_210326_017	20200820_C_C-LC	3.42	762195	
18	18	TQS3_210326_018	20190511_C_G-LC	3.42	951536	
19	19	TQS3_210326_019	20190528_C_C-LC	3.42	959833	
20	20	TQS3_210326_020	20190819_C_K-LC	3.42	940258	
21	21	TQS3_210326_021	20190819_C_N-LC	3.42	943212	
22	22	TQS3_210326_022	20200304_C_Fg-LC	3.42	899741	
23	23	TQS3_210326_023	20200304_C_Hg-LC	3.42	706419	
24	24	TQS3_210326_024	20200304_C_Ht-LC	3.42	901736	
25	25	TQS3_210326_025	20200304_C_Kg-LC	3.42	715555	
26	26	TQS3_210326_026	20200820_C_E-LC	3.42	903897	
27	27	TQS3_210326_027	20200831_S_1_12-LC	3.42	904568	
28	28	TQS3_210326_028	20190510_S_1_9-LC	3.42	783053	
29	29	TQS3_210326_029	20190511_C_I-LC	3.43	943994	
